airport,le_ident,he_ident,lat,lon,true_bearing_deg,declination_2026_deg,residual_2026_deg,residual_1976_deg,went_wrong_year
85V,18,36,35.7016,-109.5165,199.06,9.053,10.007,5.945,1957.54
87MO,18,36,38.6961,-94.258,182.214,0.875,1.339,-4.015,
88D,11,29,41.40365,-82.6013,107.985,-7.688,5.672,2.224,2001.77
88G,09,27,41.9198,-83.73495,89.997,-6.983,6.98,3.338,1989.09
88NV,5L,23R,40.75651,-119.22229,57.256,12.85,-5.593,-10.075,
88NV,5R,23L,40.75886,-119.20965,59.812,12.847,-3.035,-7.517,
88WS,9,27,42.93098,-89.62475,91.947,-2.76,4.707,-0.064,
88XA,18,36,33.33744,-96.48022,180.0,2.369,-2.369,-7.513,
89D,09,27,41.6032,-82.6835,89.997,-7.661,7.658,4.238,1981.69
89D,18,36,41.6022,-82.6856,180.0,-7.66,7.66,4.238,1981.68
89NY,06,24,44.31675,-75.89965,48.176,-12.232,0.408,0.497,
89TS,18,36,31.56695,-95.7667,180.0,1.944,-1.944,-7.101,
8A7,09,27,35.91495,-80.45685,87.855,-8.344,6.199,2.026,2000.64
8AR1,13,31,36.48945,-92.6422,135.86,-0.173,6.034,0.644,2013.73
8B2,09,27,44.2641,-71.54675,73.991,-14.142,-1.868,0.13,
8CA8,17,35,38.06735,-121.2075,184.754,12.711,2.042,-1.808,
8D4,07,25,43.12745,-85.6792,62.532,-5.754,-1.714,-5.605,
8D6,14,32,45.91115,-101.343,147.879,5.799,2.08,-3.82,
8D8,12,30,43.14865,-98.54045,133.334,3.819,9.515,3.988,1982.99
8D9,13,31,44.0334,-97.535,139.627,3.122,6.505,0.954,2008.65
8D9,18,36,44.03285,-97.5319,185.594,3.119,2.474,-3.077,
8FA1,9,27,30.05295,-82.24175,88.962,-6.601,5.563,0.084,2018.39
8FD2,9,27,29.71528,-82.09986,89.997,-6.653,6.65,1.142,2005.96
8G8,09,27,40.8834,-80.88315,92.232,-8.738,10.97,7.906,1902.11
8I1,09,27,38.69455,-85.1979,96.274,-5.565,11.839,7.215,1918.53
8I3,18,36,40.42795,-86.2011,180.0,-5.045,5.045,0.525,2024.77
8K5,17,35,37.85505,-95.7477,180.0,1.9,8.1,2.781,1996.29
8M2,01,19,35.59025,-90.9137,8.83,-1.32,0.15,-5.275,
8M6,13,31,47.7704,-98.1869,144.992,3.582,11.41,5.534,1971.96
8M6,18,36,47.7702,-98.1832,180.0,3.579,-3.579,-9.455,
8NC8,14,32,36.0601,-78.7833,136.808,-9.349,6.157,2.453,1997.34
8OA7,04,22,39.5565,-81.781,50.216,-7.974,18.19,14.513,
8OH5,18,36,41.382,-80.7123,178.766,-8.922,7.688,4.821,1977.44
8TA0,11,29,29.1358,-98.2764,109.826,3.369,-3.543,-8.292,
8TE4,07,25,28.815,-99.75815,75.983,4.135,1.848,-2.679,
8TS9,13,31,28.14,-99.57025,130.305,4.026,-3.721,-8.233,
8V6,01,19,37.7648,-108.889,23.787,9.077,4.709,0.302,
8W3,03,21,47.80935,-119.637,51.401,14.381,7.019,0.502,2010.14
8WI1,18,36,44.75525,-88.7283,180.0,-3.645,3.645,-0.694,
8XS8,08,26,33.58465,-102.0415,85.12,5.5,-0.38,-4.958,
8XS8,17L,35R,33.5901,-102.0375,177.309,5.498,1.811,-2.767,
8XS8,17R,35L,33.59875,-102.042,180.0,5.501,4.499,-0.08,
8Y5,10,28,46.113,-94.9067,102.946,1.106,1.841,-3.533,
90TT,12,30,29.68275,-97.25268,119.981,2.813,-2.832,-7.743,
91C,18,36,43.29785,-89.7558,176.888,-2.694,-0.418,-5.168,
91N,08,26,47.5096,-100.9165,89.995,5.57,4.425,-1.687,
91TS,15,33,29.3686,-95.3399,150.061,1.723,-1.662,-6.799,
92C,03,21,44.64105,-88.2169,36.256,-4.029,10.285,6.049,1966.46
92C,12,30,44.6412,-88.2152,113.536,-4.031,-2.433,-6.669,
92CA,14,32,36.1165,-119.8905,156.217,12.08,4.137,0.633,
92MU,18,36,39.40912,-94.60623,181.235,1.101,0.134,-5.221,
92XS,14,32,26.47885,-97.68725,137.996,3.058,-5.062,-9.755,
93AZ,08,26,32.2247,-110.0062,90.252,8.765,1.487,-2.087,
93B,07,25,44.1732,-68.68025,51.55,-15.04,-3.41,-0.212,
93KS,2,20,39.78,-96.0848,7.568,2.118,-14.55,-19.907,
93XA,18,36,33.50959,-98.12021,180.22,3.347,-3.127,-8.12,
94C,09,27,43.4516,-89.25415,89.998,-3.094,3.093,-1.548,
94FL,09,27,26.7328,-81.8973,89.998,-6.458,6.456,0.616,2010.13
94TX,17,35,31.43765,-99.31565,170.057,3.97,-3.913,-8.658,
95FA,1,19,30.40115,-82.9565,5.849,-6.191,2.039,-3.467,
95KS,1,19,39.02616,-96.01504,8.78,2.074,-3.294,-8.633,
95MI,12,30,44.08702,-85.73074,119.679,-5.85,5.529,1.837,2006.05
96C,01,19,42.75095,-88.2504,356.315,-3.786,-9.899,-14.445,
96OR,12,30,45.10055,-118.817,138.184,13.622,4.563,-1.069,
97MT,02,20,48.07485,-114.676,35.554,12.961,2.594,-4.014,
98G,18,36,43.7294,-83.4622,175.834,-7.446,3.279,0.188,
98TS,2,20,31.55929,-98.42247,25.934,3.483,2.451,-2.408,
99A,17,35,34.4062,-91.9587,180.0,-0.555,10.555,5.109,1975.26
99CL,04,22,34.6261,-117.6,58.829,11.314,7.515,4.174,1997.64
99CL,07,25,34.6236,-117.6,89.997,11.314,8.683,5.343,1970.2
99CL,16,34,34.6236,-117.5945,175.278,11.313,3.965,0.624,
9A3,9,27,61.5791,-159.2155,105.987,10.229,5.757,-4.659,2023.93
9CA7,07,25,36.7675,-119.436,78.763,12.116,-3.353,-6.993,
9CL2,07,25,36.8715,-121.337,84.331,12.494,1.837,-1.771,
9FA5,18,36,29.19093,-82.03264,180.0,-6.639,6.639,1.072,2006.48
9G0,06,24,42.862,-78.7166,47.448,-10.393,-2.159,-3.823,
9G1,17,35,40.60355,-79.8261,164.45,-9.355,3.805,1.003,
9G6,10,28,43.17355,-78.27465,90.781,-10.708,1.489,0.114,
9I0,09,27,40.222,-90.0229,89.997,-2.237,2.235,-2.86,
9IS0,09,27,40.5431,-91.3307,91.241,-1.298,2.538,-2.651,
9IS2,18,36,40.48215,-88.2676,180.0,-3.548,3.548,-1.307,
9K5,04,22,39.22935,-93.0728,43.573,0.027,3.547,-1.787,
